Datasets,Score,In OpenVLA?,FInish Modify,How many different task  after modify,Tasks / Categories,#UniqueTasks,Comments,Scenes,#Scenes,#Trajectories,Avg. frames/trajectory,Control frequency,In OXE?,NickName,Language instructions,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,How to modify it to align with our overall objectives?,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments
UCSD Kitchen,5,TRUE,FALSE,,"- Open the oven door (21.0%)
- Place the teapot on the stove (20.0%)
- Turn on the faucet (19.0%)
- Put the bowl inside the kitchen cabinet (14.0%)
- Put the white box into the sink (7.0%)
- Open the carbinet door (7.0%)
- Put the green box into the sink (6.0%)
- Put the canned spam into the sink (6.0%)",8,,Kitchen (also toy kitchen),2,150,28,2,✅,ucsd_kitchen_dataset_converted_externally_to_rlds,"Natural
- Open the oven door (21.0%)
- Place the teapot on the stove (20.0%)
- Turn on the faucet (19.0%)
- Put the bowl inside the kitchen cabinet (14.0%)
- Put the white box into the sink (7.0%)
- Open the carbinet door (7.0%)
- Put the green box into the sink (6.0%)
- Put the canned spam into the sink (6.0%)",1,0,0,1,xArm,Single Arm,,"teapot, stove, faucet, box, sink, door, spam, bowl, cabinet","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=8-dimensional action, consisting of end-effector position and orientation, gripper open/close and a episode termination action.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(21,), dtype=float32, description=21-dimensional joint states, consists of robot joint angles, joint velocity and joint torque.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"1. There are difference in the initial layout of the scene
2. Adding details about the final state/position after actions",,,,Human VR,,,
UCSD Pick Place,3,FALSE,FALSE,,"- pick up the red object from the table (525 successed)
- place the pot in the sink (44 successes)",2,,"Table Top, Kitchen (also toy kitchen)",2,"1,355",,3,✅,ucsd_pick_and_place_dataset_converted_externally_to_rlds,"Templated
- pick up the red object from the table (96.0%)
- place the pot in the sink (4.0%)",1,0,0,1,xArm,Single Arm,,"table, pot, sink","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'disclaimer': Text(shape=(), dtype=string),
        'file_path': Text(shape=(), dtype=string),
        'n_transitions': Scalar(shape=(), dtype=int32, description=Number of transitions in the episode.),
        'success': Scalar(shape=(), dtype=bool, description=True if the last state of an episode is a success state, False otherwise.),
        'success_labeled_by': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(4,), dtype=float32, description=Robot action, consists of [3x gripper velocities,1x gripper open/close torque].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(224, 224, 3), dtype=uint8, description=Camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x gripper position,3x gripper orientation, 1x finger distance].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,"1. The quality is not high because it is not teleoperation
2. only simple pick-and-place",,,,Expert Policy,,,
Austin Sailor,4,TRUE,FALSE,,"- Interact with the objects in diverse but meaningful ways (64.0%) 
- Place the fish, sausage, and tomato into the frying pan (14.0%) 
- Place the pan onto the stove and place the fish and sausage into the pan (12.0%) 
- Place the bread, butter, and milk from the table onto the serving area (10.0%)",4,,"Table Top, Kitchen (also toy kitchen)",2,250,"1,628",20,✅,austin_sailor_dataset_converted_externally_to_rlds,"None
- Interact with the objects in diverse but meaningful ways (64.0%)
- Place the fish, sausage, and tomato into the frying pan (14.0%)
- Place the pan onto the stove and place the fish and sausage into the pan (12.0%)
- Place the bread, butter, and milk from the table onto the serving area (10.0%)",2,0,1,1,Franka,Single Arm,,"ways, fish, pan, bread, table, stove","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x ee relative pos, 3x ee relative rotation, 1x gripper action].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(8,), dtype=float32, description=Default robot state, consists of [3x robot ee pos, 3x ee quat, 1x gripper state].),
            'state_ee': Tensor(shape=(16,), dtype=float32, description=End-effector state, represented as 4x4 homogeneous transformation matrix of ee pose.),
            'state_gripper': Tensor(shape=(1,), dtype=float32, description=Robot gripper opening width. Ranges between ~0 (closed) to ~0.077 (open)),
            'state_joint': Tensor(shape=(7,), dtype=float32, description=Robot 7-dof joint information (not used in original SAILOR dataset).),
            'wrist_image': Image(shape=(128, 128, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=True on last step of the episode.),
    }),
})",EEF velocity,"1. decompose the task since the episodes are very long
2. adding visual and process details
3. the resolution of this dataset is very low",,,,Human Spacemouse,,,
Austin Sirius,2,TRUE,FALSE,,"- Insert the blue gear onto the right peg, followed by the red gear (54.0%) - Open the kcup holder, insert the kcup into the holder, and close the kcup holder (46.0%)",2,,Table Top,1,600,524,20,✅,austin_sirius_dataset_converted_externally_to_rlds,"None
- Insert the blue gear onto the right peg, followed by the red gear (54.0%)
- Open the kcup holder, insert the kcup into the holder, and close the kcup holder (46.0%)",2,0,1,1,Franka,Single Arm,,"peg, gear, holder, kcup","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x ee relative pos, 3x ee relative rotation, 1x gripper action].),
        'action_mode': Tensor(shape=(1,), dtype=float32, description=Type of interaction. -1: initial human demonstration. 1: intervention. 0: autonomuos robot execution (includes pre-intervention class)),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'intv_label': Tensor(shape=(1,), dtype=float32, description=Same as action_modes, except 15 timesteps preceding intervention are labeled as -10.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(84, 84, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(8,), dtype=float32, description=Default robot state, consists of [7x robot joint state, 1x gripper state].),
            'state_ee': Tensor(shape=(16,), dtype=float32, description=End-effector state, represented as 4x4 homogeneous transformation matrix of ee pose.),
            'state_gripper': Tensor(shape=(1,), dtype=float32, description=Robot gripper opening width. Ranges between ~0 (closed) to ~0.077 (open)),
            'state_joint': Tensor(shape=(7,), dtype=float32, description=Robot 7-dof joint information.),
            'wrist_image': Image(shape=(84, 84, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF velocity,"1. Only 2 tasks without too many differences in the different trajectories
2. Very low resolution",,,,Human Spacemouse,,,
BC-Z,5,TRUE,FALSE,,"Complete list are in Tab.7/8

- place the bottle in the ceramic bowl (8.0%)
- place the white sponge in the ceramic bowl (6.0%)
- place the eraser on the white sponge (6.0%)
- pick up the ceramic bowl (6.0%)
- place the ceramic cup in the ceramic bowl (6.0%)
- place eraser in metal cup (4.0%)
- wipe tray with sponge (4.0%)
- wipe table surface with eraser (4.0%)
- others",100,,Table Top,1,"39,350",132,10,✅,bc_z,"Templated
- place
- pick up
- wipe
- stack
- knock
- drag
- push
- move
- others",1,0,0,1,Google Robot,Mobile Manipulator,,"sponge, bowl, bottle, tray, cup, eraser, pepper, brush, surface, towel, table, ...","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'future/axis_angle_residual': Tensor(shape=(30,), dtype=float32, description=The next 10 actions for the rotation. Each action is a 3D delta to add to the current axis angle.),
            'future/target_close': Tensor(shape=(10,), dtype=int64, description=The next 10 actions for the gripper. Each action is the value the gripper closure should be changed to (notably it is *not* a delta.)),
            'future/xyz_residual': Tensor(shape=(30,), dtype=float32, description=The next 10 actions for the positions. Each action is a 3D delta to add to current position.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'episode_success': float32,
            'image': Image(shape=(171, 213, 3), dtype=uint8, description=Camera image of the robot, downsampled 3x),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32, description=An embedding of the task via Universal Sentence Encoder (https://tfhub.dev/google/universal-sentence-encoder/4)),
            'natural_language_instruction': string,
            'present/autonomous': int64,
            'present/axis_angle': Tensor(shape=(3,), dtype=float32, description=The current rotation of the end effector in axis-angle representation.),
            'present/intervention': int64,
            'present/sensed_close': Tensor(shape=(1,), dtype=float32, description=How much the gripper is currently closed. Scaled from 0 to 1, but not all values from 0 to 1 are reachable. The range in the data is about 0.2 to 1),
            'present/xyz': Tensor(shape=(3,), dtype=float32, description=The current position of the end effector in axis-angle representation, in robot frame),
            'sequence_length': int64,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,"The difference between trajectoires lies in:
- Variations in object positions
- Variations in scene background due to collecting in multiple locations
- Minor hardware differences between each robot
- Variation in object instances
- Multiple distractor objects (4-5)

Therefore we can add details about these variants

NOTE: there are unsuccessful episodes",,CoRL 2021,,Human VR,,,
USC Cloth Sim,2,FALSE,FALSE,,- fold cloth along diagonal (100.0%),1,,"Table Top, Kitchen (also toy kitchen)",2,"1,000",100,10,✅,usc_cloth_sim_converted_externally_to_rlds,"None
- fold cloth along diagonal (100.0%)",1,0,0,1,Franka,Single Arm,,cloth,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(4,), dtype=float32, description=Robot action, consists of x,y,z goal and picker commandpicker<0.5 = open, picker>0.5 = close.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(32, 32, 3), dtype=uint8, description=Image observation of cloth.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward as a normalized performance metric in [0, 1].0 = no change from initial state. 1 = perfect fold.-ve performance means the cloth is worse off than initial state.),
    }),
})",EEF Position,It is simulated trajectoires and only about folding cloth,,,,Scripted,,,
Tokyo PR2 Fridge Opening,2,FALSE,FALSE,,- opening the fridge (100.0%),1,,Kitchen (also toy kitchen),1,64,144,10,✅,utokyo_pr2_opening_fridge_converted_externally_to_rlds,"None
- opening the fridge (100.0%)
",1,0,0,1,PR2,Single Arm,,fridge,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x end effector pos, 3x robot rpy angles, 1x gripper open/close command, 1x terminal action].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x end effector pos, 3x robot rpy angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,Only about opening fridge and the trajectories are highly similar,,,,Human VR,,,
Tokyo PR2 Tabletop Manipulation,3,FALSE,FALSE,,"- picking a bread (38.0%)
- folding a cloth (34.0%)
- picking a grape (28.0%)",3,,Table Top,1,192,136,10,✅,utokyo_pr2_tabletop_manipulation_converted_externally_to_rlds,"None
- picking a bread (38.0%)
- folding a cloth (34.0%)
- picking a grape (28.0%)",1,0,0,1,PR2,Single Arm,,"cloth, bread, grape","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [3x end effector pos, 3x robot rpy angles, 1x gripper open/close command, 1x terminal action].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(128, 128, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [3x end effector pos, 3x robot rpy angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"The difference between trajectoires lies in:
- grasp point
- final state",,,,Human VR,,,
Saytap,5,FALSE,FALSE,,"- trot forward fast (5.0%)
- pace in place (5.0%)
- stand still (5.0%)
- bound forward slowly (5.0%)
- move forward fast in pacing gait (5.0%)
- bound backward fast (5.0%)
- move backward slowly in pacing gait (5.0%)
...
- raise your front right leg (5.0%)
- trot backward fast (5.0%)
- bound backward slowly (5.0%)
- trot backward slowly (5.0%)",20,,"Indoor, on a flat floor",1,20,"1,147",50,✅,utokyo_saytap_converted_externally_to_rlds,"Natural
- trot forward fast (5.0%)
- pace in place (5.0%)
- stand still (5.0%)
- bound forward slowly (5.0%)
- move forward fast in pacing gait (5.0%)
- bound backward fast (5.0%)
- move backward slowly in pacing gait (5.0%)
...
- raise your front right leg (5.0%)
- trot backward fast (5.0%)
- bound backward slowly (5.0%)
- trot backward slowly (5.0%)",0,0,0,0,Unitree A1,Quadrupedal Robot,,"leg, gait","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(12,), dtype=float32, description=Robot action, consists of [12x joint positios].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'desired_pattern': Tensor(shape=(4, 5), dtype=bool, description=Desired foot contact pattern for the 4 legs, the 4 rows are for the front right, front left, rear right and rear left legs, the pattern length is 5 (=0.1s).),
            'desired_vel': Tensor(shape=(3,), dtype=float32, description=Desired velocites. The first 2 are linear velocities along and perpendicular to the heading direction, the 3rd is the desired angular velocity about the yaw axis.),
            'image': Image(shape=(64, 64, 3), dtype=uint8, description=Dummy camera RGB observation.),
            'prev_act': Tensor(shape=(12,), dtype=float32, description=Actions applied in the previous step.),
            'proj_grav_vec': Tensor(shape=(3,), dtype=float32, description=The gravity vector [0, 0, -1] in the robot base frame.),
            'state': Tensor(shape=(30,), dtype=float32, description=Robot state, consists of [3x robot base linear velocity, 3x base angular vel, 12x joint position, 12x joint velocity].),
            'wrist_image': Image(shape=(64, 64, 3), dtype=uint8, description=Dummy wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",Joint position,"1. Only 20 trajectoires, and the resolution is very low
2. The image seems to be black??",,,,Expert Policy,,,
UTokyo xArm PickPlace,2,FALSE,FALSE,,"- Pick up a white plate, and then place it on the red plate (100.0%)
",1,,Table Top,1,95,,10,✅,utokyo_xarm_pick_and_place_converted_externally_to_rlds,"None
- Pick up a white plate, and then place it on the red plate (100.0%)",2,0,1,1,xArm,Single Arm,,plate,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll, 1x gripper open/close position].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'end_effector_pose': Tensor(shape=(6,), dtype=float32, description=Robot end effector pose, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
            'hand_image': Image(shape=(224, 224, 3), dtype=uint8, description=Hand camera RGB observation.),
            'image': Image(shape=(224, 224, 3), dtype=uint8, description=Main camera RGB observation.),
            'image2': Image(shape=(224, 224, 3), dtype=uint8, description=Another camera RGB observation from different view point.),
            'joint_state': Tensor(shape=(14,), dtype=float32, description=Robot joint state, consists of [7x robot joint angles, 7x robot joint velocity].),
            'joint_trajectory': Tensor(shape=(21,), dtype=float32, description=Robot joint trajectory, consists of [7x robot joint angles, 7x robot joint velocity, 7x robot joint acceralation].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,No too many differences between trajectories,,,,Human Puppeteering,,,
UTokyo xArm Bimanual,3,FALSE,FALSE,,"- Reach a towel (50.0%)
- Unfold a wrinkled towel (50.0%)",2,,Table Top,1,70,24,10,✅,utokyo_xarm_bimanual_converted_externally_to_rlds,"None
- Reach a towel (50.0%)
- Unfold a wrinkled towel (50.0%)",1,0,0,1,xArm Bimanual,Bi-Manual,,towel,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(14,), dtype=float32, description=Robot action, consists of [3x EEF position (L), 3x EEF orientation yaw/pitch/roll (L), 1x gripper open/close position (L), 3x EEF position (R), 3x EEF orientation yaw/pitch/roll (R), 1x gripper open/close position (R)].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'action_l': Tensor(shape=(7,), dtype=float32, description=Left robot action, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
            'action_r': Tensor(shape=(7,), dtype=float32, description=Right robot action, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll, 1x gripper open/close position].),
            'image': Image(shape=(256, 256, 3), dtype=uint8, description=Main camera RGB observation.),
            'pose_l': Tensor(shape=(6,), dtype=float32, description=Left robot end effector pose, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
            'pose_r': Tensor(shape=(6,), dtype=float32, description=Right robot end effector pose, consists of [3x EEF position, 3x EEF orientation yaw/pitch/roll].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,"The difference lies in the unfolding task, but overall trajectoires are very similar",,,,Human Puppeteering,,,
RT-1 Robot Action,5,TRUE,FALSE,,"- pick object (17.5%)
- move object near object (45.3%)
- place object upright (1.1%)
- knock object over (1.1%)
- open drawer (0.4%)
- close drawer (0.4%)
- place object into receptacle (11.3%)
- pick object from receptacle and place on the counter (21.8%)",744 (8 types),,"Table Top, Kitchen (also toy kitchen)",NA,"73,499",45,3,✅,fractal20220817_data,"Templated
- pick object (17.5%)
- move object near object (45.3%)
- place object upright (1.1%)
- knock object over (1.1%)
- open drawer (0.4%)
- close drawer (0.4%)
- place object into receptacle (11.3%)
- pick object from receptacle and place on the counter (21.8%)",1,1,0,1,Google Robot,Mobile Manipulator,,"chocolate, drawer, counter, apple, bowl, coke, bottle, bag, sponge, shelf, fridge, orange, banana, blueberry, green, pepsi, can","FeaturesDict({
    'aspects': FeaturesDict({
        'already_success': bool,
        'feasible': bool,
        'has_aspects': bool,
        'success': bool,
        'undesirable': bool,
    }),
    'attributes': FeaturesDict({
        'collection_mode': int64,
        'collection_mode_name': string,
        'data_type': int64,
        'data_type_name': string,
        'env': int64,
        'env_name': string,
        'location': int64,
        'location_name': string,
        'objects_family': int64,
        'objects_family_name': string,
        'task_family': int64,
        'task_family_name': string,
    }),
    'steps': Dataset({
        'action': FeaturesDict({
            'base_displacement_vector': Tensor(shape=(2,), dtype=float32),
            'base_displacement_vertical_rotation': Tensor(shape=(1,), dtype=float32),
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32, description=continuous gripper position),
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=rpy commanded orientation displacement, in base-relative frame),
            'terminate_episode': Tensor(shape=(3,), dtype=int32),
            'world_vector': Tensor(shape=(3,), dtype=float32, description=commanded end-effector displacement, in base-relative frame),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'base_pose_tool_reached': Tensor(shape=(7,), dtype=float32, description=end-effector base-relative position+quaternion pose),
            'gripper_closed': Tensor(shape=(1,), dtype=float32),
            'gripper_closedness_commanded': Tensor(shape=(1,), dtype=float32, description=continuous gripper position),
            'height_to_bottom': Tensor(shape=(1,), dtype=float32, description=height of end-effector from ground),
            'image': Image(shape=(256, 320, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'orientation_box': Tensor(shape=(2, 3), dtype=float32),
            'orientation_start': Tensor(shape=(4,), dtype=float32),
            'robot_orientation_positions_box': Tensor(shape=(3, 3), dtype=float32),
            'rotation_delta_to_go': Tensor(shape=(3,), dtype=float32, description=rotational displacement from current orientation to target),
            'src_rotation': Tensor(shape=(4,), dtype=float32),
            'vector_to_go': Tensor(shape=(3,), dtype=float32, description=displacement from current end-effector position to target),
            'workspace_bounds': Tensor(shape=(3, 3), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,It is quite diverse and there are no much repetition under the same instruction,,,,Human VR,,,
dobb-e,4,TRUE,TRUE,NA,"1. switching button  521
2. door openining   1258
3. door closing  955 
4. drawer opening 675
5. drawer closing 694
6. pick and place 696
7. handle grasping 409
( many type ,anything around their household that they would like to do using the stick， ignore the play data)",7,,different scene at home,can't calcutate,"5,620",227,30,✅,dobbe,"Templated（many repeat）
1. switching button  521
2. door openining   1258
3. door closing  955 
4. drawer opening 675
5. drawer closing 694
6. pick and place 696
7. handle grasping 409
ignore the. play data ",1,1,1,0,  Hello Stretch,Single Arm,,anything around household,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': float32,
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'gripper': Tensor(shape=(1,), dtype=float32),
            'quat': Tensor(shape=(4,), dtype=float32),
            'rot': Tensor(shape=(3,), dtype=float32),
            'state': Tensor(shape=(7,), dtype=float32),
            'wrist_image': Image(shape=(256, 256, 3), dtype=uint8),
            'xyz': Tensor(shape=(3,), dtype=float32),
        }),
        'reward': float32,
    }),
})

quat is the quaternion e.g ( w, x, y, z)
rot is rotation vector.  both used to describe the rotation",EEF position,"1. such robot is not public , quit different from ours
2. Need to re-write the intruction in a fine-grained manner
3. only one first-person image",✅,,,Human collect using tools ,"
Hello Stretch",,need fine-grad annotation / instruction
conqhose,1,FALSE,,,grasp hose,3,," Household environments, Hallways",1,139,56,30,✅,conq_hose_manipulation,"Templated
1.pick up the pillow and place it on the couch
2.grasp hose
3.vacuum the floor",3,0,1,2,Spot,Single Arm,,only hose,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': float32,
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'frontleft_fisheye_image': Image(shape=(726, 604, 3), dtype=uint8),
            'frontright_fisheye_image': Image(shape=(726, 604, 3), dtype=uint8),
            'hand_color_image': Image(shape=(480, 640, 3), dtype=uint8),
            'state': Tensor(shape=(66,), dtype=float32),
        }),
        'reward': float32,
    }),
})",EEF velocity,"1. The image needs to be rotated and the black part cut out
2. 2 error in OXE. sheet. , 
   a. Only 3 camera ，not 6 . 
   b. 1 wrist camera, not 0 
   I have emailed the person in charge. mitranopeter @gmail.com
3. Both tasks and scenes are very simple， repeat",,NA,"
https://github.com/UM-ARM-Lab/conq_hose_manipulation_dataset_builder",scripts,spot,,bad dataset
