Datasets,NickName,Score,In OpenVLA?,FInish Modify,need modify,other view,fully download,whether FPS is proper?,AI/human,finish,#Trajectories,fully upload to AWS,verison,download link,Language instructions,In OXE?,How to modify it to align with our overall objectives?,Tasks / Categories,Comments,#Scenes,Avg. frames/trajectory,Control frequency,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments,Real or Not?,Granularity,Pixel Quality,Size of Dataset
Freiburg Franka Play,taco_play,2,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"human
down sample",FALSE,"3,242",TRUE,0.1.0,https://www.kaggle.com/datasets/oiermees/taco-robot,"Templated
- turn off the blue led light
- grasp the drawer handle, then open it
- go push the pink block into the drawer
- rotate the pink block towards the right
- push the green button to turn off the green light
- turn off the blue light lamp
- turn off the red light lamp
...
- turn the yellow block right
- stack the yellow block on top of the purple block
- put the pink object on the table
- close the drawer",✅,"Seems to be good
- the instructions are diverse enough","pick up the pink block: 41,
grasp the drawer handle and open it: 37,
pull the drawer: 35,
grasp the handle of the drawer and open it: 34,
go open the drawer: 34,
grasp the pink block: 31,
grasp the drawer handle, then open it: 30,
open the cabinet drawer: 30,
......
grasp the pink block and rotate it left: 1,
push the purple block inside the drawer: 1,
place the pink block on top of the yellow block: 1,",,1,66,15,2,2,1,1,Franka Emika Panda,Single Arm,,"blocks, drawer, light button","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'actions': Tensor(shape=(7,), dtype=float32, description=absolute desired values for gripper pose (first 6 dimensions are x, y, z, yaw, pitch, roll), last dimension is open_gripper (-1 is open gripper, 1 is close)),
            'rel_actions_gripper': Tensor(shape=(7,), dtype=float32, description=relative actions for gripper pose in the gripper camera frame (first 6 dimensions are x, y, z, yaw, pitch, roll), last dimension is open_gripper (-1 is open gripper, 1 is close)),
            'rel_actions_world': Tensor(shape=(7,), dtype=float32, description=relative actions for gripper pose in the robot base frame (first 6 dimensions are x, y, z, yaw, pitch, roll), last dimension is open_gripper (-1 is open gripper, 1 is close)),
            'terminate_episode': float32,
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'depth_gripper': Tensor(shape=(84, 84), dtype=float32),
            'depth_static': Tensor(shape=(150, 200), dtype=float32),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'rgb_gripper': Image(shape=(84, 84, 3), dtype=uint8),
            'rgb_static': Image(shape=(150, 200, 3), dtype=uint8, description=RGB static image of shape. (150, 200, 3). Subsampled from (200,200, 3) image.),
            'robot_obs': Tensor(shape=(15,), dtype=float32, description=EE position (3), EE orientation in euler angles (3), gripper width (1), joint positions (7), gripper action (1)),
            'structured_language_instruction': string,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})","EEF Position

(rel_actions_world is used in OXE)",,,,Human VR,,,,,,,
Language Table,language_table,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,no need modify,FALSE,"442,226",FALSE,,https://interactive-language.github.io/,"Natural
1.place
2. push
3. move
4. put
5. slide
6.separate {} to/towards {}",✅,"1. The instructions are quite diverse although there are repeated trajectoires under the same task
2. The initial surroundings/end states maybe different

Note:
1. the observation fps maybe 5
2. the left/right top/bottom maybe not from agents' view",1.place/ 2. push/ 3. move/ 4. put/ 5. slide/ 6.separate {} to/towards {},,1,20,10,1,0,0,1,xArm,Single Arm,,"A fixed set of 8 plastic blocks, comprising 4 colors and 6 shapes","action: shape=(2,), <dtype: 'float32'>
is_first: shape=(), <dtype: 'bool'>
is_last: shape=(), <dtype: 'bool'>
is_terminal: shape=(), <dtype: 'bool'>
observation: (dict)
    effector_target_trshape=(2,), <dtype: 'float32'>
    effector_translation: shape=(2,), <dtype: 'float32'>
    instruction: shape=(512,),anslation:  <dtype: 'int32'>
    rgb: shape=(360, 640, 3), <dtype: 'uint8'>
reward: shape=(), <dtype: 'float32'>",EEF Position,,,,Human VR,,,,,,,
UCSD Kitchen,ucsd_kitchen_dataset_converted_externally_to_rlds,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"human
down sample",FALSE,150,TRUE,,https://www.tensorflow.org/datasets/catalog/ucsd_kitchen_dataset_converted_externally_to_rlds,"Natural
- Open the oven door (21.0%)
- Place the teapot on the stove (20.0%)
- Turn on the faucet (19.0%)
- Put the bowl inside the kitchen cabinet (14.0%)
- Put the white box into the sink (7.0%)
- Open the carbinet door (7.0%)
- Put the green box into the sink (6.0%)
- Put the canned spam into the sink (6.0%)",✅,"1. There are difference in the initial layout of the scene
2. Adding details about the final state/position after actions","- Open the oven door (21.0%)
- Place the teapot on the stove (20.0%)
- Turn on the faucet (19.0%)
- Put the bowl inside the kitchen cabinet (14.0%)
- Put the white box into the sink (7.0%)
- Open the carbinet door (7.0%)
- Put the green box into the sink (6.0%)
- Put the canned spam into the sink (6.0%)",,2,28,2,1,0,0,1,xArm,Single Arm,,"teapot, stove, faucet, box, sink, door, spam, bowl, cabinet","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=8-dimensional action, consisting of end-effector position and orientation, gripper open/close and a episode termination action.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(21,), dtype=float32, description=21-dimensional joint states, consists of robot joint angles, joint velocity and joint torque.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,Human VR,,,,,,,
Berkeley MVP Data,berkeley_mvp_converted_externally_to_rlds,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,human,TRUE,480,TRUE,,http://arxiv.org/abs/2210.03109,"
push wooden cube
pick detergent from the sink
pick yellow cube
close fridge door
reach red block
pick fruit",✅,✅,,,2,94,5,1,0,1,0,xArm,Single Arm,,"cube, fridge","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(8,), dtype=float32, description=Robot action, consists of [7 delta joint pos,1x gripper binary state].),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'gripper': Scalar(shape=(), dtype=bool, description=Binary gripper state (1 - closed, 0 - open)),
            'hand_image': Image(shape=(480, 640, 3), dtype=uint8, description=Hand camera RGB observation.),
            'joint_pos': Tensor(shape=(7,), dtype=float32, description=xArm joint positions (7 DoF).),
            'pose': Tensor(shape=(7,), dtype=float32, description=Gripper pose, robot frame, [3 position, 4 rotation]),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",Joint position (7 joint + 1 gripper),,CoRL 2022,,human VR,,,,,,,
ASU TableTop Manipulation,asu_table_top_converted_externally_to_rlds,3,FALSE,,TRUE,FALSE,FALSE,FALSE,human,FALSE,110,TRUE,,https://link.springer.com/article/10.1007/s10514-023-10129-1,"put
place
pick
move
push",✅,,"put
place
pick
move
push",,,236,"12,5",1,0,0,1,UR5,Single Arm,,"cube, bottle, carton","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32, description=Robot action, consists of [7x joint velocities, 2x gripper velocities, 1x terminate episode].),
        'action_delta': Tensor(shape=(7,), dtype=float32, description=Robot delta action, consists of [7x joint velocities, 2x gripper velocities, 1x terminate episode].),
        'action_inst': Text(shape=(), dtype=string),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'goal_object': Text(shape=(), dtype=string),
        'ground_truth_states': FeaturesDict({
            'EE': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
            'bottle': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
            'bread': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
            'coke': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
            'cube': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
            'milk': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
            'pepsi': Tensor(shape=(6,), dtype=float32, description=xyzrpy),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(224, 224, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(7,), dtype=float32, description=Robot state, consists of [6x robot joint angles, 1x gripper position].),
            'state_vel': Tensor(shape=(7,), dtype=float32, description=Robot joint velocity, consists of [6x robot joint angles, 1x gripper position].),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,scripts,,,action description is incorrect,,,,
KAIST Nonprehensile Objects,kaist_nonprehensile_converted_externally_to_rlds,3,FALSE,,FALSE,FALSE,FALSE,FALSE,human,FALSE,201,TRUE,,https://link.springer.com/article/10.1007/s10514-023-10129-1,"rotate
push
topple
flip
make sth stand up
drag
lift
lie
pull",✅,"resize image
take a subset of action
instruction is ✅","rotate
push
topple
flip
make sth stand up
drag
lift
lie
pull",,1,155,10,1,0,0,1,franka,Single Arm,,table top objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(20,), dtype=float32, description=Robot action, consists of [3x end-effector position residual, 3x end-effector axis-angle residual, 7x robot joint k_p gain coefficient, 7x robot joint damping ratio coefficient].The action residuals are global, i.e. multiplied on theleft-hand side of the current end-effector state.),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'image': Image(shape=(480, 640, 3), dtype=uint8, description=Main camera RGB observation.),
            'partial_pointcloud': Tensor(shape=(512, 3), dtype=float32, description=Partial pointcloud observation),
            'state': Tensor(shape=(21,), dtype=float32, description=Robot state, consists of [joint_states, end_effector_pose].Joint states are 14-dimensional, formatted in the order of [q_0, w_0, q_1, w_0, ...].In other words,  joint positions and velocities are interleaved.The end-effector pose is 7-dimensional, formatted in the order of [position, quaternion].The quaternion is formatted in (x,y,z,w) order. The end-effector pose references the tool frame, in the center of the two fingers of the gripper.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})","20: 3 delta eef-pos, 3 delta eef-rot, 7 k_p, 7 damping ratio",,,,,Franka,,,,,,
BC-Z,bc_z,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,ai,FALSE,"39,350",TRUE,0.1.0,https://sites.google.com/view/bc-z/home,"Templated
- place
- pick up
- wipe
- stack
- knock
- drag
- push
- move
- others",✅,"The difference between trajectoires lies in:
- Variations in object positions
- Variations in scene background due to collecting in multiple locations
- Minor hardware differences between each robot
- Variation in object instances
- Multiple distractor objects (4-5)

Therefore we can add details about these variants

NOTE: there are unsuccessful episodes","Complete list are in Tab.7/8

- place the bottle in the ceramic bowl (8.0%)
- place the white sponge in the ceramic bowl (6.0%)
- place the eraser on the white sponge (6.0%)
- pick up the ceramic bowl (6.0%)
- place the ceramic cup in the ceramic bowl (6.0%)
- place eraser in metal cup (4.0%)
- wipe tray with sponge (4.0%)
- wipe table surface with eraser (4.0%)
- others",,1,132,10,1,0,0,1,Google Robot,Mobile Manipulator,,"sponge, bowl, bottle, tray, cup, eraser, pepper, brush, surface, towel, table, ...","FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'future/axis_angle_residual': Tensor(shape=(30,), dtype=float32, description=The next 10 actions for the rotation. Each action is a 3D delta to add to the current axis angle.),
            'future/target_close': Tensor(shape=(10,), dtype=int64, description=The next 10 actions for the gripper. Each action is the value the gripper closure should be changed to (notably it is *not* a delta.)),
            'future/xyz_residual': Tensor(shape=(30,), dtype=float32, description=The next 10 actions for the positions. Each action is a 3D delta to add to current position.),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'episode_success': float32,
            'image': Image(shape=(171, 213, 3), dtype=uint8, description=Camera image of the robot, downsampled 3x),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32, description=An embedding of the task via Universal Sentence Encoder (https://tfhub.dev/google/universal-sentence-encoder/4)),
            'natural_language_instruction': string,
            'present/autonomous': int64,
            'present/axis_angle': Tensor(shape=(3,), dtype=float32, description=The current rotation of the end effector in axis-angle representation.),
            'present/intervention': int64,
            'present/sensed_close': Tensor(shape=(1,), dtype=float32, description=How much the gripper is currently closed. Scaled from 0 to 1, but not all values from 0 to 1 are reachable. The range in the data is about 0.2 to 1),
            'present/xyz': Tensor(shape=(3,), dtype=float32, description=The current position of the end effector in axis-angle representation, in robot frame),
            'sequence_length': int64,
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,CoRL 2021,,Human VR,,,,,,,
RT-1 Robot Action,fractal20220817_data,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,ai,FALSE,"87,212",TRUE,0.1.0,https://ai.googleblog.com/2022/12/rt-1-robotics-transformer-for-real.html,"Templated
- pick object (17.5%)
- move object near object (45.3%)
- place object upright (1.1%)
- knock object over (1.1%)
- open drawer (0.4%)
- close drawer (0.4%)
- place object into receptacle (11.3%)
- pick object from receptacle and place on the counter (21.8%)",✅,It is quite diverse and there are no much repetition under the same instruction,"- pick object (17.5%)
- move object near object (45.3%)
- place object upright (1.1%)
- knock object over (1.1%)
- open drawer (0.4%)
- close drawer (0.4%)
- place object into receptacle (11.3%)
- pick object from receptacle and place on the counter (21.8%)",,NA,45,3,1,1,0,1,Google Robot,Mobile Manipulator,,"chocolate, drawer, counter, apple, bowl, coke, bottle, bag, sponge, shelf, fridge, orange, banana, blueberry, green, pepsi, can","FeaturesDict({
    'aspects': FeaturesDict({
        'already_success': bool,
        'feasible': bool,
        'has_aspects': bool,
        'success': bool,
        'undesirable': bool,
    }),
    'attributes': FeaturesDict({
        'collection_mode': int64,
        'collection_mode_name': string,
        'data_type': int64,
        'data_type_name': string,
        'env': int64,
        'env_name': string,
        'location': int64,
        'location_name': string,
        'objects_family': int64,
        'objects_family_name': string,
        'task_family': int64,
        'task_family_name': string,
    }),
    'steps': Dataset({
        'action': FeaturesDict({
            'base_displacement_vector': Tensor(shape=(2,), dtype=float32),
            'base_displacement_vertical_rotation': Tensor(shape=(1,), dtype=float32),
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32, description=continuous gripper position),
            'rotation_delta': Tensor(shape=(3,), dtype=float32, description=rpy commanded orientation displacement, in base-relative frame),
            'terminate_episode': Tensor(shape=(3,), dtype=int32),
            'world_vector': Tensor(shape=(3,), dtype=float32, description=commanded end-effector displacement, in base-relative frame),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'base_pose_tool_reached': Tensor(shape=(7,), dtype=float32, description=end-effector base-relative position+quaternion pose),
            'gripper_closed': Tensor(shape=(1,), dtype=float32),
            'gripper_closedness_commanded': Tensor(shape=(1,), dtype=float32, description=continuous gripper position),
            'height_to_bottom': Tensor(shape=(1,), dtype=float32, description=height of end-effector from ground),
            'image': Image(shape=(256, 320, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'orientation_box': Tensor(shape=(2, 3), dtype=float32),
            'orientation_start': Tensor(shape=(4,), dtype=float32),
            'robot_orientation_positions_box': Tensor(shape=(3, 3), dtype=float32),
            'rotation_delta_to_go': Tensor(shape=(3,), dtype=float32, description=rotational displacement from current orientation to target),
            'src_rotation': Tensor(shape=(4,), dtype=float32),
            'vector_to_go': Tensor(shape=(3,), dtype=float32, description=displacement from current end-effector position to target),
            'workspace_bounds': Tensor(shape=(3, 3), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",EEF Position,,,,Human VR,,,,,,,
dobb-e,dobbe,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,human,FALSE,"5,620",TRUE,0.0.1,https://dobb-e.com/#,"Templated（many repeat）
1. switching button  521
2. door openining   1258
3. door closing  955 
4. drawer opening 675
5. drawer closing 694
6. pick and place 696
7. handle grasping 409
ignore the. play data ",✅,"1. such robot is not public , quit different from ours
2. Need to re-write the intruction in a fine-grained manner
3. only one first-person image","1. switching button  521
2. door openining   1258
3. door closing  955 
4. drawer opening 675
5. drawer closing 694
6. pick and place 696
7. handle grasping 409
( many type ,anything around their household that they would like to do using the stick， ignore the play data)",,can't calcutate,227,30,1,1,1,0,  Hello Stretch,Single Arm,,anything around household,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': float32,
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'gripper': Tensor(shape=(1,), dtype=float32),
            'quat': Tensor(shape=(4,), dtype=float32),
            'rot': Tensor(shape=(3,), dtype=float32),
            'state': Tensor(shape=(7,), dtype=float32),
            'wrist_image': Image(shape=(256, 256, 3), dtype=uint8),
            'xyz': Tensor(shape=(3,), dtype=float32),
        }),
        'reward': float32,
    }),
})

quat is the quaternion e.g ( w, x, y, z)
rot is rotation vector.  both used to describe the rotation",EEF position,✅,,,Human collect using tools ,"
Hello Stretch",,need fine-grad annotation / instruction,,,,
MimicPlay,mimic_play,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,human,FALSE,378,TRUE,0.0.1,https://mimic-play.github.io/,"dummy, no specific instruciton ",✅,add fine-grad instructiono,"Random operation in 5 scenes. No specific instructions. 
e.g Put flowers in the vase in the ""flower and vase"" scene",,5,779,15,3,0,1,2,Franka panda,Single Arm,,"flower , vase, toy , ","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': string,
    }),
    'steps': Dataset({
        'action': Tensor(shape=(7,), dtype=float32),
        'discount': Scalar(shape=(), dtype=float32),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32),
        'language_instruction': string,
        'observation': FeaturesDict({
            'image': FeaturesDict({
                'front_image_1': Image(shape=(120, 120, 3), dtype=uint8),
                'front_image_2': Image(shape=(120, 120, 3), dtype=uint8),
            }),
            'state': FeaturesDict({
                'ee_pose': Tensor(shape=(7,), dtype=float32),
                'gripper_position': float32,
                'joint_positions': Tensor(shape=(7,), dtype=float32),
                'joint_velocities': Tensor(shape=(7,), dtype=float32),
            }),
            'wrist_image': FeaturesDict({
                'wrist_image': Image(shape=(120, 120, 3), dtype=uint8),
            }),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
})",,,CoRL 2023,human teleoperate,,,,,,,,
UIUCD3Field,uiuc_d3field,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,human,FALSE,196,TRUE,1.1.2,https://robopil.github.io/d3fields/,dummy instruction,✅,"1. action sapce need to change , now is 3D, we need 7D
2. write the instruction for each episode ",dummy instruction,,1,70,1,4,4,0,4,Kinova Gen3,Single Arm,,"utensile,mug,shoe and other things in desk top","FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(3,), dtype=float32, description=Robot displacement from last frame),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'depth_1': Image(shape=(360, 640, 1), dtype=uint16, description=camera 1 depth observation.),
            'depth_2': Image(shape=(360, 640, 1), dtype=uint16, description=camera 2 depth observation.),
            'depth_3': Image(shape=(360, 640, 1), dtype=uint16, description=camera 3 depth observation.),
            'depth_4': Image(shape=(360, 640, 1), dtype=uint16, description=camera 4 depth observation.),
            'image_1': Image(shape=(360, 640, 3), dtype=uint8, description=camera 1 RGB observation.),
            'image_2': Image(shape=(360, 640, 3), dtype=uint8, description=camera 2 RGB observation.),
            'image_3': Image(shape=(360, 640, 3), dtype=uint8, description=camera 3 RGB observation.),
            'image_4': Image(shape=(360, 640, 3), dtype=uint8, description=camera 4 RGB observation.),
            'state': Tensor(shape=(4, 4), dtype=float32, description=Robot end-effector state),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,,,,,,,,
Berkeley Fanuc Manipulation,berkeley_fanuc_manipulation,2,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,human,TRUE,415,TRUE,0.1.0,https://sites.google.com/berkeley.edu/fanuc-manipulation,"1.Handover the object on the table to the human.
2.Pour the objects in the blue cup to the white cup.
3.Pick up the tape and put it in the box.
4.Pick up the toy duck and put it on the goal location represented using a cross.
5.Stack cups together.
6.Pick up the banana and place it in the drawer.
7.Press the stapler.
8.Pick up the object and place it in the box.
9.Separate the stacked cups..
10.Use the stick to swipe the cup.
11.Open the drawer and place the battery in the drawer.
12.Pick up the cup and put it on the table.
13.Pick up the screw driver and place it in the box.
14.Pick up the battery and place it in the open drawer.
15.Pick up the battery.
16.Push the cup the goal location represented using a cross.
17.Close the drawer.
18.Open the drawer.
19.Close Water kettle .
20.Pick up the brush and sweep the table.
21.open the box
22.Pick up the object under the table and put it on top of the table.
23.Pick up the brush and put it on the table.
24.Close the laptop.
25.Pick up the two cups together then put them down.
26.Push the cube to the goal location represented using a cross.
27.Disassemble the object
28.Pick up the object on the table and place it in the cup.
29.Pick up the level and place it on the cup.
30.Pick up the object on the table then put it down.
31.Pick up the pen and place it in the cup.
32.Disassemble the object.",✅,1. action is 6D ，without gripper demention,"1.Handover the object on the table to the human.
2.Pour the objects in the blue cup to the white cup.
3.Pick up the tape and put it in the box.
4.Pick up the toy duck and put it on the goal location represented using a cross.
5.Stack cups together.
6.Pick up the banana and place it in the drawer.
7.Press the stapler.
8.Pick up the object and place it in the box.
9.Separate the stacked cups..
10.Use the stick to swipe the cup.
11.Open the drawer and place the battery in the drawer.
12.Pick up the cup and put it on the table.
13.Pick up the screw driver and place it in the box.
14.Pick up the battery and place it in the open drawer.
15.Pick up the battery.
16.Push the cup the goal location represented using a cross.
17.Close the drawer.
18.Open the drawer.
19.Close Water kettle .
20.Pick up the brush and sweep the table.
21.open the box
22.Pick up the object under the table and put it on top of the table.
23.Pick up the brush and put it on the table.
24.Close the laptop.
25.Pick up the two cups together then put them down.
26.Push the cube to the goal location represented using a cross.
27.Disassemble the object
28.Pick up the object on the table and place it in the cup.
29.Pick up the level and place it on the cup.
30.Pick up the object on the table then put it down.
31.Pick up the pen and place it in the cup.
32.Disassemble the object.",,1,150,10,2,0,1,1,Fanuc Mate,Single Arm,,table top objects,"FeaturesDict({
    'episode_metadata': FeaturesDict({
        'file_path': Text(shape=(), dtype=string),
    }),
    'steps': Dataset({
        'action': Tensor(shape=(6,), dtype=float32, description=Robot action, consists of [dx, dy, dz] and [droll, dpitch, dyaw]),
        'discount': Scalar(shape=(), dtype=float32, description=Discount if provided, default to 1.),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'language_embedding': Tensor(shape=(512,), dtype=float32, description=Kona language embedding. See https://tfhub.dev/google/universal-sentence-encoder-large/5),
        'language_instruction': Text(shape=(), dtype=string),
        'observation': FeaturesDict({
            'end_effector_state': Tensor(shape=(7,), dtype=float32, description=Robot gripper end effector state, consists of [x, y, z] and 4x quaternion),
            'image': Image(shape=(224, 224, 3), dtype=uint8, description=Main camera RGB observation.),
            'state': Tensor(shape=(13,), dtype=float32, description=Robot joints state, consists of [6x robot joint angles, 1x gripper open status, 6x robot joint velocities].),
            'wrist_image': Image(shape=(224, 224, 3), dtype=uint8, description=Wrist camera RGB observation.),
        }),
        'reward': Scalar(shape=(), dtype=float32, description=Reward if provided, 1 on final step for demos.),
    }),
})",EEF Position,,,,,,,(add some details),,,,
QT-Opt,kuka,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,no need modify,FALSE,"580,392",FALSE,,https://arxiv.org/abs/1806.10293,None,✅,"1. generating natural language instruction, especially for objects
2. remove repeatition because it is simple task",Only grasp different objects,"Maybe need to filter success-only data, since the trajectory are collected automatically via Neural Networks",1,14,10,1,0,0,1,LBRIIWA arm,Single Arm,❌,NA,"FeaturesDict({
    'steps': Dataset({
        'action': FeaturesDict({
            'base_displacement_vector': Tensor(shape=(2,), dtype=float32),
            'base_displacement_vertical_rotation': Tensor(shape=(1,), dtype=float32),
            'gripper_closedness_action': Tensor(shape=(1,), dtype=float32),
            'rotation_delta': Tensor(shape=(3,), dtype=float32),
            'terminate_episode': Tensor(shape=(3,), dtype=int32),
            'world_vector': Tensor(shape=(3,), dtype=float32),
        }),
        'is_first': bool,
        'is_last': bool,
        'is_terminal': bool,
        'observation': FeaturesDict({
            'clip_function_input/base_pose_tool_reached': Tensor(shape=(7,), dtype=float32),
            'clip_function_input/workspace_bounds': Tensor(shape=(3, 3), dtype=float32),
            'gripper_closed': Tensor(shape=(1,), dtype=float32),
            'height_to_bottom': Tensor(shape=(1,), dtype=float32),
            'image': Image(shape=(512, 640, 3), dtype=uint8),
            'natural_language_embedding': Tensor(shape=(512,), dtype=float32),
            'natural_language_instruction': string,
            'task_id': Tensor(shape=(1,), dtype=float32),
        }),
        'reward': Scalar(shape=(), dtype=float32),
    }),
    'success': bool,
})",EEF Position,,CoRL 2018,,"Data was collected with 7 LBR IIWA robots, with 4-10 training objects per robot. The objects were replaced every 4 hours during business hours.

(collected by off-policy QT-Opt algorithm)",,,,,,,
